Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/01 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
 01/02 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,4,4,5,5,7,9,11,15,20,16
(11.00;1.89)=,4,4,5,6,8,11,15,24,42,67
(11.00;2.78)=,4,5,6,7,9,13,19,33,68,139
(11.00;3.67)=,4,5,6,8,10,15,23,41,84,163
(11.00;4.56)=,4,5,6,8,11,16,25,44,91,168
(11.00;5.44)=,4,5,6,8,11,16,25,45,92,168
(11.00;6.33)=,4,5,6,8,11,16,24,42,87,165
(11.00;7.22)=,4,5,6,7,10,14,21,36,75,148
(11.00;8.11)=,4,4,5,7,9,12,17,27,50,83
(11.00;9.00)=,4,4,5,6,7,9,13,18,26,23
 01/02 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,1,1,1,2,2,3,3,4,6,4
(11.00;1.89)=,1,1,1,2,2,3,5,7,12,17
(11.00;2.78)=,1,1,2,2,3,4,6,10,18,33
(11.00;3.67)=,1,1,2,2,3,4,7,11,21,37
(11.00;4.56)=,1,1,2,2,3,5,7,12,23,38
(11.00;5.44)=,1,1,2,2,3,5,7,12,23,38
(11.00;6.33)=,1,1,2,2,3,4,6,11,21,37
(11.00;7.22)=,1,1,1,2,3,4,5,9,18,33
(11.00;8.11)=,1,1,1,2,2,3,4,7,11,17
(11.00;9.00)=,1,1,1,1,2,2,3,4,6,5
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/03 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,9,9,10,11,12,13,16,18,15
(11.00;1.89)=,9,9,10,11,12,14,17,23,34,46
(11.00;2.78)=,9,10,10,12,14,18,23,35,63,500
(11.00;3.67)=,9,10,11,13,16,21,29,49,470,529
(11.00;4.56)=,10,11,12,14,18,25,414,437,480,532
(11.00;5.44)=,10,11,13,15,20,406,417,440,482,533
(11.00;6.33)=,10,11,13,16,399,407,418,440,480,531
(11.00;7.22)=,10,12,391,394,399,406,416,435,472,521
(11.00;8.11)=,11,12,391,394,398,404,412,427,453,478
(11.00;9.00)=,11,12,391,393,396,401,406,415,422,27
 01/03 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,62,63,65,68,71,76,81,90,98,85
(11.00;1.89)=,63,65,68,72,78,88,100,125,171,216
(11.00;2.78)=,65,68,72,78,87,104,129,187,331,2850
(11.00;3.67)=,67,70,76,84,99,125,166,270,2693,6741
(11.00;4.56)=,69,73,80,91,111,147,2370,2507,6419,6770
(11.00;5.44)=,71,76,85,99,123,2331,2398,2542,6444,6772
(11.00;6.33)=,73,79,89,105,2296,2342,2409,2548,6441,6766
(11.00;7.22)=,74,81,2256,2272,2299,2343,2406,2534,6411,6731
(11.00;8.11)=,76,83,2257,2272,2296,2335,2389,2496,6320,6529
(11.00;9.00)=,76,83,2256,2269,2289,2320,2360,2428,6139,3867
 01/03 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,51,54,57,61,67,76,86,101,118,95
(11.00;1.89)=,53,57,61,68,78,94,115,159,244,334
(11.00;2.78)=,56,60,66,76,91,118,159,257,508,1175
(11.00;3.67)=,58,64,72,85,108,148,215,382,846,10092
(11.00;4.56)=,61,68,78,95,124,178,271,501,5280,6121
(11.00;5.44)=,64,72,84,105,140,204,317,572,5350,6126
(11.00;6.33)=,66,75,89,112,151,221,341,593,5354,6115
(11.00;7.22)=,68,78,93,117,156,226,340,576,5303,6051
(11.00;8.11)=,69,79,94,118,155,217,318,517,5151,5687
(11.00;9.00)=,70,79,93,114,146,197,275,413,4855,4761
 01/03 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,26,28,31,35,41,49,61,79,102,76
(11.00;1.89)=,28,31,35,40,49,64,87,134,238,373
(11.00;2.78)=,29,33,38,46,59,82,121,211,457,1052
(11.00;3.67)=,31,35,42,52,69,99,155,285,645,3633
(11.00;4.56)=,32,37,45,57,77,114,182,339,750,1485
(11.00;5.44)=,33,39,47,61,83,124,199,368,788,1490
(11.00;6.33)=,34,40,48,62,85,127,203,370,782,1479
(11.00;7.22)=,34,40,49,62,84,123,194,344,721,1400
(11.00;8.11)=,34,40,47,60,79,113,170,287,561,976
(11.00;9.00)=,33,38,45,56,72,97,139,211,340,330
 01/03 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,21,23,26,30,35,44,55,73,96,72
(11.00;1.89)=,23,25,29,35,43,57,79,124,224,355
(11.00;2.78)=,24,27,32,40,51,72,109,191,415,940
(11.00;3.67)=,25,29,35,44,59,87,136,251,563,1215
(11.00;4.56)=,26,31,37,48,66,98,157,291,639,1267
(11.00;5.44)=,27,32,39,50,70,104,168,310,665,1273
(11.00;6.33)=,27,32,40,51,70,105,168,308,657,1263
(11.00;7.22)=,27,32,39,50,68,100,157,281,597,1184
(11.00;8.11)=,27,31,38,47,63,89,135,228,449,787
(11.00;9.00)=,26,30,35,44,56,76,107,163,260,252
 01/03 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,19,21,24,28,34,43,53,70,92,71
(11.00;1.89)=,20,23,27,32,40,54,73,111,189,281
(11.00;2.78)=,21,24,29,36,47,66,95,160,318,656
(11.00;3.67)=,22,26,31,39,53,77,115,203,420,852
(11.00;4.56)=,23,27,32,42,57,84,129,231,475,898
(11.00;5.44)=,23,27,33,43,59,88,135,243,495,905
(11.00;6.33)=,23,27,33,43,59,87,134,238,484,893
(11.00;7.22)=,23,27,33,42,56,82,123,215,433,822
(11.00;8.11)=,22,26,31,39,52,73,106,175,326,545
(11.00;9.00)=,22,25,29,36,46,62,85,127,199,198
 01/03 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,17,19,22,26,31,40,49,66,86,66
(11.00;1.89)=,18,20,24,29,37,50,67,102,171,252
(11.00;2.78)=,18,21,26,32,42,60,85,142,272,526
(11.00;3.67)=,19,22,27,35,47,68,100,173,343,651
(11.00;4.56)=,19,23,28,36,49,73,109,191,378,680
(11.00;5.44)=,20,23,28,36,50,74,112,196,387,684
(11.00;6.33)=,19,23,28,36,49,72,107,188,372,673
(11.00;7.22)=,19,22,27,34,45,65,96,164,322,605
(11.00;8.11)=,18,21,25,31,41,56,80,128,231,371
(11.00;9.00)=,18,20,23,28,35,47,62,90,135,129
 01/03 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,14,15,18,21,27,34,43,57,74,56
(11.00;1.89)=,14,17,20,24,31,43,57,87,142,204
(11.00;2.78)=,15,17,21,27,35,50,71,116,212,377
(11.00;3.67)=,15,18,22,28,38,56,81,136,254,443
(11.00;4.56)=,15,18,22,29,40,59,86,146,273,458
(11.00;5.44)=,15,18,22,29,39,58,85,146,275,460
(11.00;6.33)=,15,18,21,27,37,54,79,136,259,450
(11.00;7.22)=,14,17,20,25,34,48,68,114,215,392
(11.00;8.11)=,14,16,19,23,29,40,54,84,143,214
(11.00;9.00)=,13,15,17,20,25,32,41,56,79,70
 01/03 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,9,11,13,17,21,27,36,47,35
(11.00;1.89)=,9,10,12,15,20,27,36,56,91,130
(11.00;2.78)=,9,11,13,17,22,32,45,74,134,232
(11.00;3.67)=,9,11,14,18,24,35,51,85,157,264
(11.00;4.56)=,9,11,14,18,25,37,53,90,166,270
(11.00;5.44)=,9,11,13,18,24,36,52,89,165,270
(11.00;6.33)=,9,10,13,17,23,33,48,82,154,264
(11.00;7.22)=,8,10,12,15,20,28,40,67,125,227
(11.00;8.11)=,8,9,11,13,17,23,31,47,78,113
(11.00;9.00)=,7,8,10,11,14,18,22,30,39,32
 01/03 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,1,2,2,2,3,4,5,6,8,6
(11.00;1.89)=,1,2,2,3,3,5,6,10,16,23
(11.00;2.78)=,1,2,2,3,4,6,8,13,24,41
(11.00;3.67)=,2,2,2,3,4,6,9,15,28,47
(11.00;4.56)=,2,2,2,3,4,6,9,16,29,48
(11.00;5.44)=,1,2,2,3,4,6,9,16,29,48
(11.00;6.33)=,1,2,2,3,4,6,8,14,27,47
(11.00;7.22)=,1,2,2,3,3,5,7,12,22,40
(11.00;8.11)=,1,1,2,2,3,4,5,8,13,19
(11.00;9.00)=,1,1,2,2,2,3,4,5,6,5
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
